NIU,CODIGO_CONEXION,TIPO_CONEXION,NIVEL_TENSION,NIVEL_TENSION_PRIMARIA,PORC_PROP_ACTIV,CONEXION_RED,ID_COMERCIALIZADOR,ID_MERCADO,GRUPO_CALIDAD,COD_FRONTERA_COMERCIAL,COD_CIRCUITO_LINEA,COD_TRANSFORMADOR,COD_DANE,UBICACION,DIRECCION,COND_ESPEC,TIPO_AREA_ESPEC,COD_AREA_ESPEC,ESTRATO,ALTITUD,LONGITUD,LATITUD,AUTOGENERADOR,EXP_ENERGIA,CAPAC_AUTOGEN,TIP_GENERACION,COD_FRONTERA_EXPORT,F_ENTRADA_GENERAR,CONTR_RESPALDO,CAPAC_CONTR_RES
2614295,65023175,2,1,2,100,1,637,166,11,OR0001,10000214,65023175,76834000,2,CR 26A 17 74 2CS 4,0,0,0,2,972,-76.195787,4.09245,3,,,,,,,
2614297,65023175,2,1,2,100,1,637,166,11,OR0001,10000214,65023175,76834000,2,CR 26 17 79 CS 7,0,0,0,2,972,-76.195787,4.09245,3,,,,,,,
2614299,65023175,2,1,2,100,1,637,166,11,OR0001,10000214,65023175,76834000,2,CR 26A 17 1 23 2CS 9,0,0,0,2,972,-76.195787,4.09245,3,,,,,,,
2614301,65023175,2,1,2,100,1,637,166,11,OR0001,10000214,65023175,76834000,2,CR 26A 17 17 2CS 5,0,0,0,2,972,-76.195787,4.09245,3,,,,,,,
2614303,65023175,2,1,2,100,1,637,166,11,OR0001,10000214,65023175,76834000,2,CR 26A 17 23 1CS 10,0,0,0,2,972,-76.195787,4.09245,3,,,,,,,
2614305,65023175,2,1,2,100,1,637,166,11,OR0001,10000214,65023175,76834000,2,CR 26A 17 75 ,0,0,0,2,972,-76.195787,4.09245,3,,,,,,,
2614307,65023175,2,1,2,100,1,637,166,11,OR0001,10000214,65023175,76834000,2,CR 26 18SN 110 ,0,0,0,2,972,-76.195787,4.09245,3,,,,,,,
2614309,65023175,2,1,2,100,1,637,166,11,OR0001,10000214,65023175,76834000,2,CR 26 18 29 ,0,0,0,2,972,-76.195787,4.09245,3,,,,,,,
2614311,65023175,2,1,2,100,1,637,166,11,OR0001,10000214,65023175,76834000,2,CR 26A 18 35,0,0,0,2,972,-76.195787,4.09245,3,,,,,,,
2614313,65023175,2,1,2,100,1,637,166,11,OR0001,10000214,65023175,76834000,2,CR 26 18 41 ,0,0,0,2,972,-76.195787,4.09245,3,,,,,,,
2614315,65023175,2,1,2,100,1,637,166,11,OR0001,10000214,65023175,76834000,2,CR 26 18 51 ,0,0,0,2,972,-76.195787,4.09245,3,,,,,,,
2614317,65023175,2,1,2,100,1,637,166,11,OR0001,10000214,65023175,76834000,2,CR 26 18 59 ,0,0,0,2,972,-76.195787,4.09245,3,,,,,,,
2614319,65023175,2,1,2,100,1,637,166,11,OR0001,10000214,65023175,76834000,2,CR 26 18 79,0,0,0,2,972,-76.195787,4.09245,3,,,,,,,
2614321,65023174,2,1,2,100,1,637,166,11,OR0001,10000214,65023174,76834000,2,CR 26 17 15 P 1,0,0,0,1,969,-76.195510,4.093028,3,,,,,,,
2614323,65023187,2,1,2,100,1,637,166,11,OR0001,10000210,65023187,76834000,2,CR 22 15 67 ,0,0,0,3,968,-76.199984,4.093576,3,,,,,,,
2614325,65023185,2,1,2,100,1,637,166,11,OR0001,10000210,65023185,76834000,2,CR 23 15 32 1,0,0,0,3,968,-76.199312,4.093088,3,,,,,,,
2614327,65023185,2,1,2,100,1,637,166,11,OR0001,10000210,65023185,76834000,2,CR 22B15 110P 1,0,0,0,3,968,-76.199312,4.093088,3,,,,,,,
2614329,65023183,2,1,2,100,1,637,166,11,OR0001,10000210,65023183,76834000,2,CR 23 14 41 ,0,0,0,3,969,-76.198333,4.093966,3,,,,,,,
2614331,65023183,2,1,2,100,1,637,166,11,OR0001,10000210,65023183,76834000,2,CR 23 14 43 ,0,0,0,3,969,-76.198333,4.093966,3,,,,,,,
2614335,65033120,2,1,2,100,1,637,166,11,OR0001,10000214,65033120,76834000,2,CR 23 18 16 ,0,0,0,3,968,-76.198276,4.091983,3,,,,,,,
2614339,65033120,2,1,2,100,1,637,166,11,OR0001,10000214,65033120,76834000,2,CR 23 18 36 P 1,0,0,0,3,968,-76.198276,4.091983,3,,,,,,,
2614341,65033120,2,1,2,100,1,637,166,11,OR0001,10000214,65033120,76834000,2,CR 23 18 32 P 1,0,0,0,3,968,-76.198276,4.091983,3,,,,,,,
2614345,65033120,2,1,2,100,1,637,166,11,OR0001,10000214,65033120,76834000,2,CR 23 18 20 APTO 1,0,0,0,3,968,-76.198276,4.091983,3,,,,,,,
2614351,65023180,2,1,2,100,1,637,166,11,OR0001,10000214,65023180,76834000,2,CR 25 14 68 ,0,0,0,3,970,-76.197767,4.09441,3,,,,,,,
2614353,65023179,2,1,2,100,1,637,166,11,OR0001,10000214,65023179,76834000,2,CR 25A 15B 41 ,0,0,0,3,968,-76.197487,4.093242,3,,,,,,,
2614355,65023178,2,1,2,100,1,637,166,11,OR0001,10000214,65023178,76834000,2,CR 25 16 70 ,0,0,0,3,970,-76.197331,4.092512,3,,,,,,,
2614357,65023178,2,1,2,100,1,637,166,11,OR0001,10000214,65023178,76834000,2,CR 25A 18 45 ,0,0,0,3,970,-76.197331,4.092512,3,,,,,,,
2614359,65023177,2,1,2,100,1,637,166,11,OR0001,10000214,65023177,76834000,2,CL 19 24A 27 APTO 1 02,0,0,0,3,969,-76.197172,4.091817,3,,,,,,,
2614361,65035412,2,1,2,100,1,637,166,11,OR0001,10000214,65035412,76834000,2,CR 25 13B 38 1LOC1,0,0,0,8,966,-76.198138,4.095636,3,,,,,,,
2614363,65023136,2,1,2,100,1,637,166,11,OR0001,10000210,65023136,76834000,2,CL 13 22A 21 APTO 2,0,0,0,3,968,-76.200068,4.096134,3,,,,,,,
2614365,65023136,2,1,2,100,1,637,166,11,OR0001,10000210,65023136,76834000,2,CL 13 22A 31 ,0,0,0,3,968,-76.200068,4.096134,3,,,,,,,
2614367,65023136,2,1,2,100,1,637,166,11,OR0001,10000210,65023136,76834000,2,CL 13 22A 39 ,0,0,0,3,968,-76.200068,4.096134,3,,,,,,,
2614369,65023136,2,1,2,100,1,637,166,11,OR0001,10000210,65023136,76834000,2,CL 13 22B 3 ,0,0,0,3,968,-76.200068,4.096134,3,,,,,,,
2614371,65023136,2,1,2,100,1,637,166,11,OR0001,10000210,65023136,76834000,2,CL 13 22B 11 ,0,0,0,3,968,-76.200068,4.096134,3,,,,,,,
2614373,65023136,2,1,2,100,1,637,166,11,OR0001,10000210,65023136,76834000,2,CL 13 22B 19 ,0,0,0,3,968,-76.200068,4.096134,3,,,,,,,
2614375,65023136,2,1,2,100,1,637,166,11,OR0001,10000210,65023136,76834000,2,CL 13 22B 27 ,0,0,0,3,968,-76.200068,4.096134,3,,,,,,,
2614377,65023135,2,1,2,100,1,637,166,11,OR0001,10000210,65023135,76834000,2,CL 13 22B 35 ,0,0,0,3,967,-76.199550,4.096257,3,,,,,,,
2614379,65023135,2,1,2,100,1,637,166,11,OR0001,10000210,65023135,76834000,2,CR 23 12B 34 ,0,0,0,3,967,-76.199550,4.096257,3,,,,,,,
2614381,65023128,2,1,2,100,1,637,166,11,OR0001,10000214,65023128,76834000,2,CL 13 24A 11,0,0,0,3,967,-76.198240,4.096098,3,,,,,,,
2614383,65023128,2,1,2,100,1,637,166,11,OR0001,10000214,65023128,76834000,2,CR 25 12B 34 ,0,0,0,3,967,-76.198240,4.096098,3,,,,,,,
2614385,65023138,2,1,2,100,1,637,166,11,OR0001,10000210,65023138,76834000,2,CR 22 14 5 ,0,0,0,3,966,-76.198694,4.095107,3,,,,,,,
2614387,65741870,2,1,2,100,1,637,166,11,OR0001,10000210,65741870,76834000,2,CL 18 2276 P2,0,0,0,3,973,-76.199500,4.0918,3,,,,,,,
2614389,65741870,2,1,2,100,1,637,166,11,OR0001,10000210,65741870,76834000,2,CL 18 22A 71 ,0,0,0,3,973,-76.199500,4.0918,3,,,,,,,
2614391,65741870,2,1,2,100,1,637,166,11,OR0001,10000210,65741870,76834000,2,CL 18 22A 37 ,0,0,0,3,973,-76.199500,4.0918,3,,,,,,,
