NIU,CODIGO_DE_CONEXION,TIPO_DE_CONEXION,NIVEL_DE_TENSION,NIVEL_DE_TENSION_PRIMARIO,PORC_PROPIEDAD_DEL_ACTIVO,CONEXION_RED,ID_COMERCIALIZADOR,ID_MERCADO,GRUPO_DE_CALIDAD,COD_FRONTERA_COMERCIAL,CODIGO_CIRCUITO_O_LINEA,CODIGO_TRANSFORMADOR,CODIGO_DANE_NIU,UBICACION,DIRECCION,CONDICION_ESPECIAL,TIPO_AREA_ESPECIAL,CODIGO_AREA_ESPECIAL,ESTRATO_ID,ALTITUD,LONGITUD,LATITUD,AUTOGENERADOR,EXPORTA_ENERGIA,POTENCIA,TIPO_GENERACION,CODIGO_FRONTERA_AUTO_GEN,INICIO_OPERACION,CONTRATO_RESPALDO,CAPACIDAD_CONTRATO_RESPALDO
21338547,100ZHL0000,2,1,2,0,1,62371,444,22,Frt59909,,100ZHL0000,8638000,2,CL 20A No CR 16 - 77 LOC 11 CV7544,0,0,0,8,102,-74.9203354,10.6300099,3,,,,,,,
21341119,100WA90000,2,1,2,0,2,62371,444,32,Frt68409,,100WA90000,8001000,1,CR 9G CL 110 - 187 LOC 22 BA8794,0,3,9708,8,30,-74.837789,10.9545857,3,,,,,,,
21341513,100Z650000,2,1,2,100,2,62371,444,12,Frt70935,,100Z650000,8001000,2,CL 93 CR 43 - 165 LOC 23 CN5938,0,0,0,8,110,-74.8271164,11.0032095,3,,,,,,,
21341639,100ZM60000,2,1,2,0,2,62371,444,12,Frt77575,,100ZM60000,8001000,2,CR 55 CL 99 - 161 P 09 LOC 4003 T6644,0,0,0,8,75,-74.8271758,11.015883,3,,,,,,,
21341664,100ZM60000,2,1,2,0,2,62371,444,12,Frt78272,,100ZM60000,8001000,2,CR 55 CL 99 - 161 LOC 1066 T6574,0,0,0,8,75,-74.8271758,11.015883,3,,,,,,,
21341945,100ZM80000,2,1,2,0,2,62371,444,12,Frt76770,,100ZM80000,8001000,2,CR 55 CL 99 - 161 LOC 3049 T6591,0,0,0,8,75,-74.8271758,11.015883,3,,,,,,,
21366340,10104R0000,2,1,2,0,1,62371,444,12,Frt86907,,10104R0000,8001000,2,CR 21 CL 47D - 67 LOC 4 BA7441,0,0,0,7,43,-74.7968761,10.9648904,3,,,,,,,
21366921,102QVB0000,2,1,2,100,1,62371,444,12,Frt85437,,102QVB0000,8001000,2,CR 44 No CL 45 - 43 DPL CD4893,0,0,0,8,30,-74.786269,10.984801,3,,,,,,,
21377331,100X6U0000,2,1,2,0,1,62371,444,12,Frt68391,,100X6U0000,8758000,2,CL 65 No CR 9 - 40 LOC 103 E687,9,0,0,8,49,-74.8019693,10.9032813,3,,,,,,,
21379539,102R2Q0000,2,1,2,100,1,62371,444,12,Frt77044,,102R2Q0000,8001000,2,CL 93 CR 43 - 108 LOC 1 CN8291,0,0,0,8,113,-74.8275822,11.002901,3,,,,,,,
21380325,100S9Y0000,2,1,2,0,1,62371,444,12,Frt70788,,100S9Y0000,8001000,2,CR 21B CL 58 - 71 LOC 8 BW1293,0,0,0,8,60,-74.8027582,10.9685105,3,,,,,,,
21380726,0236,1,2,2,101,2,62371,444,11,Frt46872,0236,,8634000,1,Cr A PUERTO DEL RIO No Km 2 - 1 DPL N4448,0,0,0,8,13,-74.7693239,10.8383713,3,,,,,,,
21381104,1010KU0000,2,1,3,0,2,62371,444,11,Frt74956,,1010KU0000,47001000,2,CL 14 No DG 34 - 1 ENTR ET3 LOC 119 ET261,0,0,0,8,26,-74.1712012,11.2250494,3,,,,,,,
21381105,1010KU0000,2,1,3,0,2,62371,444,11,Frt74986,,1010KU0000,47001000,2,CL 14 DG 34 - 1 ENTR ET3 LOC 122 ET263,0,0,0,8,26,-74.1712012,11.2250494,3,,,,,,,
21381116,1010KU0000,2,1,3,0,2,62371,444,11,Frt87350,,1010KU0000,47001000,2,CL 14 No DG 34 - 1 ENTR ET3 LOC 129 ET266,9,0,0,8,26,-74.1712012,11.2250494,3,,,,,,,
21381129,100JJX0000,2,1,3,0,2,62371,444,11,Frt76782,,100JJX0000,47001000,2,CL 14 DG 34 - 1 ENTR ET3 LOC 121 ET262,0,0,0,8,27,-74.1719252,11.2267036,3,,,,,,,
21382012,1010KQ0000,2,1,2,0,2,62371,444,11,Frt72413,,1010KQ0000,47001000,2,CL 26 CR 12 - 107 LOC PARK AR7328,0,0,0,8,9,-74.2045106,11.235922,3,,,,,,,
21383207,0343,1,2,2,101,2,62371,444,12,Frt89205,0343,,8001000,2,CR 56 CL 96 - 20 ARCO TOT CI565,9,0,0,7,63,-74.8131534,11.0137506,3,,,,,,,
21383994,0237,1,2,2,101,2,62371,444,11,Frt46080,0237,,8433000,1,CL 14 No CR 10B - 40 LOC NRP DI2819,0,0,0,7,13,-74.7693239,10.8383713,3,,,,,,,
21388413,1011X00000,2,1,2,0,1,62371,444,32,Frt68461,,1011X00000,8001000,1,CR 9G No CL 110 - 187 LOC 19 BA9148,0,3,9708,8,25,-74.8410794,10.9570273,3,,,,,,,
21390786,1011ZR0000,2,1,2,0,2,62371,444,32,Frt80184,,1011ZR0000,8001000,1,CL 114 No CR 42C - 33 LOC 07 AG6717,9,0,0,8,34,-74.8442204,10.9938923,3,,,,,,,
21390811,1011ZR0000,2,1,2,0,2,62371,444,32,Frt75651,,1011ZR0000,8001000,1,CL 114 No CR 42C - 33 LOC 12 AG6723,9,0,0,8,34,-74.8442204,10.9938923,3,,,,,,,
21392994,101M9G0000,2,1,2,100,1,62371,444,12,Frt60541,,101M9G0000,8001000,2,CR 43B CL 80 - 88 PEH 01 CH2371,0,0,0,8,84,-74.8156283,10.9973617,3,,,,,,,
21392995,101M9G0000,2,1,2,100,1,62371,444,12,Frt54874,,101M9G0000,8001000,2,CR 43B CL 80 - 88 LOC 1 CH2370,0,0,0,5,84,-74.8156283,10.9973617,3,,,,,,,
21392996,101M9G0000,2,1,2,100,1,62371,444,12,Frt54880,,101M9G0000,8001000,2,CR 43B CL 80 - 88 Ap 301 CH2362,0,0,0,5,84,-74.8156283,10.9973617,3,,,,,,,
21392997,101M9G0000,2,1,2,100,1,62371,444,12,Frt54875,,101M9G0000,8001000,2,CR 43B CL 80 - 88 Ap 302 CH2363,0,0,0,5,84,-74.8156283,10.9973617,3,,,,,,,
21392998,101M9G0000,2,1,2,100,1,62371,444,12,Frt54873,,101M9G0000,8001000,2,CR 43B CL 80 - 88 Ap 303 CH2364,0,0,0,5,84,-74.8156283,10.9973617,3,,,,,,,
21392999,101M9G0000,2,1,2,100,1,62371,444,12,Frt54876,,101M9G0000,8001000,2,CR 43B CL 80 - 88 Ap 304 CH2365,0,0,0,5,84,-74.8156283,10.9973617,3,,,,,,,
21393000,101M9G0000,2,1,2,100,1,62371,444,12,Frt54877,,101M9G0000,8001000,2,CR 43B CL 80 - 88 Ap 305 CH2366,0,0,0,5,84,-74.8156283,10.9973617,3,,,,,,,
21393001,101M9G0000,2,1,2,100,1,62371,444,12,Frt54879,,101M9G0000,8001000,2,CR 43B CL 80 - 88 Ap 306 CH2367,0,0,0,5,84,-74.8156283,10.9973617,3,,,,,,,
21402892,1022JO0000,2,1,2,0,1,62371,444,32,Frt59495,,1022JO0000,8436000,1,Cr PUENTE AMARILLO A COMPUERTAS No Km 0 - 630 DPL AC7670,0,3,9226,1,13,-75.012203,10.498075,3,,,,,,,
21404197,100LWT0000,2,1,2,100,2,62371,444,12,Frt80341,,100LWT0000,8001000,2,CL 77B CR 59 - 61 P 5 CH6416,9,0,0,8,32,-74.8027267,11.0082584,3,,,,,,,
